subject_id,session_number,block_number,trial_number,trial_type,response_made,current_speed,width,distance_level,trial_start_ms,loom_onset_ms,d7_onset_ms,position_D7_ms,position_D6_ms,position_D5_ms,position_D4_ms,position_D3_ms,position_D2_ms,position_D1_ms,vibrotactile_onset_ms,response_time_ms,reaction_time_ms,distance_m,loom_start_m,loom_end_m,vibration_device,trial_interrupted,timestamp
P001,1,2,2,T,1,fast,narrow,D7,973837.831,,,,,,,,,,974338.074,974809.773,471.7,2.250,2.250,0.250,None,0,2026-07-23T15:29:23.3058875+02:00
P001,1,2,3,T,1,slow,narrow,D4,977337.599,,,,,,,,,,980851.150,981156.503,305.4,1.250,2.250,0.250,None,0,2026-07-23T15:29:30.4856454+02:00
P001,1,2,4,VT,1,slow,narrow,D6,984669.267,984669.267,986183.415,986183.415,986835.826,987502.581,988182.986,988849.151,989515.721,990182.306,986835.826,987488.572,652.7,1.917,2.250,0.250,None,0,2026-07-23T15:29:37.8176998+02:00
P001,1,2,5,V,0,fast,narrow,,991945.758,991945.758,992445.841,992445.841,992667.766,992890.393,993112.302,993334.559,993556.611,993778.961,,,,,2.250,0.250,None,0,2026-07-23T15:29:41.4145059+02:00
P001,1,2,6,VT,1,fast,narrow,D2,995042.541,995042.541,995556.247,995556.247,995764.715,995987.194,996209.332,996431.524,996654.110,996876.079,996654.110,997126.658,472.5,0.583,2.250,0.250,None,0,2026-07-23T15:29:44.7491878+02:00
P001,1,2,7,VT,1,fast,narrow,D6,998375.454,998375.454,998889.182,998889.182,999098.399,999333.273,999555.591,999777.646,999986.819,1000221.818,999098.399,999764.057,665.7,1.917,2.250,0.250,None,0,2026-07-23T15:29:47.8580319+02:00
P001,1,2,8,V,0,fast,narrow,,1001818.724,1001818.724,1002318.993,1002318.993,1002527.664,1002763.331,1002985.852,1003208.156,1003416.401,1003652.123,,,,,2.250,0.250,None,0,2026-07-23T15:29:51.2874445+02:00
P001,1,2,9,VT,1,slow,narrow,D5,1004971.295,1004971.295,1006484.851,1006484.851,1007151.631,1007804.706,1008485.366,1009151.665,1009804.955,1010471.614,1007804.706,1008221.955,417.2,1.583,2.250,0.250,None,0,2026-07-23T15:29:58.1061289+02:00
P001,1,2,10,V,0,slow,narrow,,1012206.635,1012206.635,1013721.697,1013721.697,1014386.301,1015053.685,1015720.070,1016386.825,1017053.949,1017720.003,,,,,2.250,0.250,None,0,2026-07-23T15:30:05.3554513+02:00
P001,1,2,11,V,0,slow,narrow,,1019455.398,1019455.398,1020955.233,1020955.233,1021621.569,1022288.033,1022954.775,1023620.998,1024287.395,1024954.316,,,,,2.250,0.250,None,0,2026-07-23T15:30:12.5896924+02:00
P001,1,2,12,VT,1,fast,narrow,D2,1026412.588,1026412.588,1026926.237,1026926.237,1027134.616,1027370.772,1027579.235,1027815.082,1028023.376,1028258.945,1028023.376,1028439.336,416.0,0.583,2.250,0.250,None,0,2026-07-23T15:30:16.0638750+02:00
P001,1,2,13,T,1,fast,narrow,D4,1029911.563,,,,,,,,,,1031078.576,1031592.088,513.5,1.250,2.250,0.250,None,0,2026-07-23T15:30:19.3803282+02:00
P001,1,2,14,T,1,fast,narrow,D6,1033327.753,,,,,,,,,,1034063.775,1034438.710,374.9,1.917,2.250,0.250,None,0,2026-07-23T15:30:22.7965987+02:00
P001,1,2,15,VT,0,fast,narrow,D7,1036938.189,1036938.189,1037452.008,1037452.008,1037660.378,1037882.725,1038105.162,1038327.126,1038549.720,1038784.960,1037452.008,,,2.250,2.250,0.250,None,0,2026-07-23T15:30:27.7394364+02:00
P001,1,2,16,VT,1,slow,narrow,D7,1041687.742,1041687.742,1043201.560,1043201.560,1043868.005,1044534.897,1045201.612,1045854.881,1046521.469,1047201.856,1043201.560,1043590.399,388.8,2.250,2.250,0.250,None,0,2026-07-23T15:30:34.8374349+02:00
P001,1,2,17,T,1,slow,narrow,D3,1048812.293,,,,,,,,,,1052992.797,1053630.588,637.8,0.917,2.250,0.250,None,0,2026-07-23T15:30:41.9607685+02:00
